BRANDID,BRAND
12241,1Voice
13203,3N2
12493,A Kurtz
10474,A. Saks
12672,A/X Armani Exchange
13010,ACL
13163,ALIFE DESIGN
13522,ALOHA Collection
11497,ANNA by Anuschka
12853,AO Coolers
12733,APC
11610,Adora Hats
11929,Adrienne Landau
11429,Adrienne Vittadini
11926,Aero Tray
13210,AfterGen
12387,Aimee Kestenberg
12908,Aimee Kestenberg Handbags
13228,AirBolt: The Truly Smart Travel Lock
12111,Ale by Alessandra
12622,Aleon
13192,Alite Designs
11990,All For Color
13243,All of Us
13463,Alpha Keeper
13268,Alpine Division
13320,Ame & Lulu
243,AmeriBag
11501,AmeriLeather
395,American Flyer
12584,American Green Travel
13420,American Leather Co
3,American Tourister
10923,American West
12586,Amka
12063,Ampere Creations
11097,Amy Butler for Kalencom
12546,Andare
461,Andiamo
13515,Animalz
12167,Ann Shelby
11025,Anne Klein
11236,Anne Klein Luggage
12050,Anne Klein Watches
10336,Anuschka
11125,Ape Case
11617,Apera
13237,Apollo Tools
10081,Aquapac
11696,Armitron
13150,Armpocket
10539,Ashley M
13194,Asics
10296,Athalon
7,Atlantic
12225,Audio Technica
302,Aurielle-Carryland
13331,AutoExec
13509,Avalanche
12748,Azeca
12698,B iconic
12509,B&W International
12532,BANDI Wear
12329,BAUBAX
13209,BEBE
13235,BLUNT Umbrella
11766,BMW Luggage
12769,BODY GLOVE Long Lat
813,BRIC'S
10894,BUCO
12041,Bag Boy
13076,Baggizmo
13373,Bailey of Hollywood
11816,Bandana
13165,Barska
12552,BeSafe by DayMakers
13286,Bear Paw
13369,Beatles
11399,BelArno
12193,Belkin
12115,Bella Handbags
12360,Bella Taylor
12742,Bellabeat
10607,Bellino
10591,Ben Sherman
12671,Ben Sherman Luggage
13334,BergHOFF International Inc
11633,Bertha Watches
11767,Betmar New York
11450,Beverly Hills Country Club
12243,Big Agnes
11274,Big Wave
13130,Biglove
13486,Billboards
12149,Birkenstock
10736,Black Diamond
13338,Bluebonnet Case
13125,Bob Allen
12361,Bob Mackie Sunglasses
13318,Bob's Burgers
11252,Boconi
12474,Boconi Belts
12694,Body Glove
12177,Boom Movement
10749,Booq
226,Bosca
12651,Bose
10139,Boulevard
12282,Bowler's Paradise
11289,Boyt Harness
12293,Braven
12644,Bret Michaels Luggage
4,Briggs & Riley
12472,Brio Luggage
13090,Brite I.D.
13156,Browning
12550,Brydge
13182,Bucky
10375,Budd Leather
12563,Budweiser
12106,Bueno
11938,Bugatti
629,Burton
48,Buxton
497,CALPAK
12363,CB Sport
12489,CB Station
10706,CIAO!
12737,CODi
12727,Cabeau
11637,Cabrelli
10724,Caddy Daddy Golf
11733,Calvin Klein Luggage
12557,Canary
