TESTIMONIAL_ID,SENTENCE_ID,SENTENCE,POS_SENTIMENT
1804540,7,I found the backpack straps were at a nice angle and the sternum strap made it feel secure,1
1527131,2,Great looking bag wellorganized and easy to pack good size as well,1
168282,0,It is very lightweight and comfortable to wear,1
1173389,0,The computer sleeve is not big enough for 17 inch laptop,0
1312452,6,Most computer bags fit just the laptop and thats it,1
1456510,0,It fit all the toiletries I needed for more than a weeklong trip,1
1640670,1,Very good tote bag,1
1385872,0,Why this bag is so great 1,1
1532961,2,Very easy to use,1
1034451,1,I like the overall look of the bag especially the vertical messenger style,1
722211,3,Very quick delivery,1
1717431,0,This a good umbrella,1
1467868,3,The cubes held so much it was easy to pack,1
851559,1,Light weight and perfect for everyday commuting,1
1789142,3,The organization capabilitieslightness in weight and great neutral color are all pauses,1
615837,4,A great size for socks lingerie and other small items,1
1026838,1,This is a nice bag,1
1730404,2,It usually holds my iPod Oakley sunglasses a large knife and tactical flashlight plus a battery charger with four AA rechargeable batteries and some gum or candy,1
1375751,4,This bag is just what I was hoping for in a new Checked Bag medium size one large roomy compartment instead of these two half and half compartments that clamshell open in the hardside bags nice array of different pockets and a distinctive color and pattern to easily spot on the carousel,1
217763,1,Not crazy big but large enough to hold your gear,1
1225654,0,This is a great carryon bag,1
627809,0,Overall this bag is a great size and seems very sturdy,1
1786944,6,Good size for a carry on the straps that convert the bag to a backpack makes it easier to carry,1
145250,0,On the left side is a sewnin flap for ID or drivers license and beneath the flap one large slot which is too shallow to hold credit cards or business cards vertically and too deep to hold them horizontally yet spans the whole width of the left side of the wallet,0
457975,2,These bags do not hold up under the duress of airline travel,0
1817266,7,It's a great size and looks beautiful,1
1757169,5,Everything in the front pockets and the top 4 of clothes inside the main compartment were pretty wet even clothes inside packing cubes,0
1617273,7,My laptop fits nicely with plenty of room for the laptop peripherals as well as notebooks writing utensils etc,1
1782494,2,Plenty of space for keeping everything organized from small items like batteries and pens to large items such as a light jacket or books,1
1243074,1,Great sections space and good quality,1
1284902,1,Two water bottle pockets pretty convenient but theyre pretty snug,0
1205328,2,its handy for organizing underclothes socks small clothing when you travel,1
1788144,2,The two best features are the attractive stylish look and the fact that the main compartment is spacious not undivided nor bulky with a designated padded laptop sleeve,1
1321811,4,Very tough very washable repels liquids,1
1210436,0,Its great because its cheap plain and durable,1
1006309,0,The plus side is that is weather proof comfortable has a sun glass pouch at the top and decent padding,1
252882,0,The leather feels nice and looks good,1
1774657,0,This is an excellent tablet bag and I would highly recommend it,1
1819128,1,I love the separate opening for cash and the removable checkbook,1
1372519,2,One is the magnetic snap in the center compartment,1
1791566,1,This is a really great bag,1
109726,1,This product is easy to carry and easy to get into the overhead bin,1
1433902,3,The combination of metal buckle and magnetic lock provides the highest level of physical security currently available for a phone case,1
1445746,3,It has enough credit card slots and open space in the bag for a small cosmetic use and small package of kleenex,1
1445746,11,I opted for a bag with inline wheels rather than spinners because the spinners add inches without adding usable space,1
583570,1,Great bag for my long vacation,1
1070781,5,This bag is the perfect size and has enough pockets to organize all my toiletries,1
1218051,6,It is a heavy bag for its size and is difficult to maneuver,0
1343514,2,Great rugged tool bag looking type of laptop case,1
271972,0,This bag is exactly what I've been looking for The size is perfect not too large or too small,1
1615625,0,It can easily accommodate my ereader and a book,1
1690426,0,Very useful when packing,1
1149913,0,Definitely wanted the drop bottom design and like the two compartments front and rear of the bag,1
1711092,3,I pack pretty light clothing wise,0
1587720,10,The junior is more ideal for her small frame,0
1816606,1,The tablet sleeve is suspended so I carry the laptop there but it probably couldnt hold anything bigger than a 13,0
1820488,4,Great space saver,1
1544014,3,This bag is the perfect size for my needs,1
1276094,1,Its a leather pouch what can I say The leather is nice quality,1
1772549,3,It keeps things cold if you use ice packs,1
1491310,3,A very useful durable item,1
1821329,0,great bag enough pockets to hold my portable electronics pda nylon mm mfi psp,1
1147232,1,This size is just a little bit small,0
1478439,1,Very good value,1
1739161,10,The straps are the right length for over the shoulder but not so long that the bag flops around,1
1612031,0,great bag for a great price,1
1719250,0,Has the features I need though the credit card slots behind the checkbook flap are in a nonintuitive place,0
584732,1,First time ve used packing cubesboth padded and non padded on international vacation trip,0
329761,1,It is a nice size and it has a long strap,1
1319984,1,I need super lightweight luggage for my types of travel,0
1797554,0,Really nice leather,1
1545371,0,The leather is so soft and beautiful,1
1817484,7,Very clever design elegant wellthoughout,1
1217570,9,Good quality and look,1
1217570,10,Great bag great value great storage and overall a terrific bag,1
1659654,7,It is wellmade stylish and can go from computercord bag to overnight bag with ease,1
1242478,6,Awesome awesome bag,1
356425,3,Wellpadded and strong canvas exterior protects everything well,1
1734469,1,Great product to simplify packing,1
1630049,7,The purple color is so great I could not resist getting a matching messenger bag and creativity pouch Kipling you rock Keep bringing great colors and styles,1
1792787,1,Excellent quality perfect size great price,1
672440,0,Really great look and easy to carry,1
1305790,1,Feels high quality not dainty,1
1700060,2,Inside pockets made of heavy leather reduce the overall usable volume,0
1765240,4,Very strong construction and top notch quality for the price,1
1401366,1,It's a perfect size,1
1647171,0,Like Smooth zipper durable leather plenty of card pockets like the snap coin purse priced well and stylish,1
1742031,0,The large cube fit workout clothes 2 pairs of pajamas jeans capris dress slacks and a jacket,1
1526294,0,Very good quality,1
1790657,1,I just needed a rolling bag for my laptop and files,0
1820864,0,The main compartment is spacious and easily wipes down with a damp cloth or you can remove the lining for better cleaning,1
1246938,0,Also easy to maneuver thru security and around airport,1
742830,2,Three open pockets on front great for things frequently neededcell phone glasses etc,1
1758395,0,They are great overnight weekend or carry on bags,1
1266787,0,It has numerous well designed and placed slots which makes it easy to use and keep stuff organized,1
1352416,0,Great size also like the separate area for non cold foods and silverware,1
1257917,0,Nice size well made easy to pack and carry,1
1199385,0,They make packing so easy neat and organized,1
1704497,1,I can comfortably carry my computer a couple folders a book and a compact lunch in the main compartment,1
1146257,6,Overall a great bag,1
1712616,1,When you need an item just grab the appropriate bag and there is no need to unpack your entire suitcase,1
1708472,0,I wanted a laptop shoulder bag that was functional but also fashionable,0
1818099,2,The bag is great quality and absolutely beautiful,1
1454047,3,Overall love it Great organization pockets on left side and deep enough to fit many items of clothing I roll my clothes to fit more,1
559780,3,I love this laptop tote It is stylish and functional,1
559780,4,I can easily carry my 156 in laptop my tablet and files,1
200199,2,Just the right size,1
528460,1,Just as good as higher priced packing bags,1
550560,0,The back section should open wider,1
658648,3,This is a marvelous backpack,1
832713,1,A good quality compact briefcase,1
1019641,0,I bought the Ultralite packing cubes to use with the Weekender Convertible and found that it could comfortably fit 4 Slims in the main section when stacked or 3 plus a XL Thermarest pillow which I sometimes pack along with a jacket in the large interior zipper section,1
1180411,5,Excellent carryon size,1
1156957,0,Very helpful with TSA,1
1224244,9,The ebags makes my luggage so organized and neat,1
1246156,5,But there is room for things like lipstick mirror small mininote pad wallet,1
1203158,0,Loading all the pockets with normal travel items cords keys etc does bulk it out rather quickly,1
1292790,0,Its a good bag,1
1277605,2,Theres also smallraised foam padding on the back for extra comfort,1
1384206,9,Overall a great backpack,1
1361825,2,Not quite large enough for all toiletries,0
1436499,1,The other compartment is large enough to hold an overnight change of clothes if needed,1
1464919,3,The leather is thick yet soft buttery and pliable with a sturdy striped cloth lining,1
1427591,2,Love the color style not bulkyand grip at end makes for versatile carry positions,1
1476523,0,Padding and webbed pockets inside to tuck away electronics and necessities is a nice touch a small velcro to tuck under the back panel when utilizing the straps but a zipper for tucking away this same arm straps when traveling so you can make like a suitcase,1
1480187,1,These cubes are great Slim modern design,1
1471873,1,There are loads of pockets and enough room for a wallet phone and all the little things you need,1
1611870,1,all stick with the TLS Motherlode 21 rolling duffel which is about the same size,0
1566911,2,This is my first experience with packing cubes,0
1663834,3,My favorite parts are the fun colors the generous mesh panel the ripstop fabric and the handy zippers and pulls,1
1635838,1,This time I downsized to the extra small from the small to force me to carry less,0
